code,name,country
1201824,224-6088,NJ
1201825,224-9206,NJ
1201826,224-4036,NJ
1201827,224-9206,NJ
1201828,224-9206,NJ
1201829,224-4145,NJ
1201830,224-9206,NJ
1201831,224-9206,NJ
1201832,224-6232,NJ
1201833,224-9206,NJ
1201834,224-3639,NJ
1201835,224-3639,NJ
1201836,224-9206,NJ
1201837,224-9206,NJ
1201838,224-6664,NJ
1201839,224-2989,NJ
1201840,224-9206,NJ
1201841,224-6391,NJ
1201842,224-9206,NJ
1201843,224-9206,NJ
1201844,224-4804,NJ
1201845,224-9206,NJ
1201846,224-6391,NJ
1201847,224-9206,NJ
1201848,224-9206,NJ
1201849,224-6088,NJ
1201850,224-9206,NJ
1201851,224-4036,NJ
1201852,224-6232,NJ
1201853,224-8407,NJ
1201854,224-9206,NJ
1201855,224-325E,NJ
1201857,224-4948,NJ
1201858,224-9206,NJ
1201859,224-4036,NJ
1201860,224-9206,NJ
1201861,224-9206,NJ
1201862,224-9206,NJ
1201863,224-9206,NJ
1201864,224-9206,NJ
1201865,224-9206,NJ
1201866,224-9206,NJ
1201867,224-9206,NJ
1201868,224-9206,NJ
1201869,224-9206,NJ
1201870,224-118F,NJ
1201871,224-9206,NJ
1201872,224-9206,NJ
1201873,224-6623,NJ
1201874,224-6391,NJ
1201875,224-142D,NJ
1201876,224-9206,NJ
1201877,224-5562,NJ
1201878,224-7134,NJ
1201879,224-4948,NJ
1201880,224-4948,NJ
1201881,224-4036,NJ
1201882,224-6088,NJ
1201883,224-9206,NJ
1201884,224-4948,NJ
1201886,224-9206,NJ
1201887,224-6623,NJ
1201888,224-4036,NJ
1201889,224-6623,NJ
1201890,224-7232,NJ
1201891,224-9206,NJ
1201892,224-6664,NJ
1201893,224-6623,NJ
1201894,224-9206,NJ
1201895,224-6623,NJ
1201896,224-9206,NJ
1201897,224-6088,NJ
1201898,224-8700,NJ
1201900,99999-9206,NJ
1201901,224-6630,NJ
1201902,224-9206,NJ
1201903,224-6845,NJ
1201904,224-6664,NJ
1201905,224-6088,NJ
1201906,224-6391,NJ
1201907,224-9206,NJ
1201909,224-9206,NJ
1201910,224-4036,NJ
1201911,99999-MULT,NJ
1201912,224-4036,NJ
1201913,224-4036,NJ
1201914,224-4036,NJ
1201915,224-9206,NJ
1201916,224-4036,NJ
1201917,224-2680,NJ
1201918,224-4036,NJ
1201919,224-6391,NJ
1201920,224-6623,NJ
1201921,224-6664,NJ
1201923,224-6664,NJ
