country,name,code
US,VT,1802830
US,OH,1330421
US,MO,1636552
US,FL,1305722
US,MO,1314718
US,IA,1712310
US,PA,1814820
US,TX,1432459
US,FL,1407935
US,OK,1918300
US,TX,1972864
US,TX,1817615
US,NJ,1201546
US,FL,1850609
US,PA,1484522
US,KS,1620435
US,MI,1231201
US,NY,1917721
US,MA,1508683
US,CA,1858487
US,KS,1785478
US,CA,1310887
US,AZ,1602490
US,TX,1214706
US,IL,1773897
US,SC,1864872
US,AL,1334445
US,LA,1337260
US,NC,1336417
US,HI,1808889
US,IA,1563242
US,MN,1507544
US,RI,1401294
US,TN,1423624
US,NM,1505603
US,TX,1903401
US,MS,1769230
US,TX,1956958
US,VA,1540603
US,AL,1205356
US,PA,1570384
US,WV,1304430
US,FL,1786911
US,CT,1475700
US,IL,1815902
US,MA,1413785
US,RI,1401681
US,CA,1949374
US,KS,1620840
US,OR,1541925
US,MO,1573207
US,MI,1517306
US,MI,1231682
US,GA,1912916
US,MO,1314707
US,IN,1930811
US,CA,1707607
US,WY,1307710
US,NY,1718604
US,IL,1708363
US,SC,1864661
US,MO,1417217
US,NC,1828682
US,WA,1206538
US,CO,1720648
US,MN,1763235
US,NY,1917669
US,MA,1413853
US,FL,1305254
US,CA,1323870
US,NY,1917543
US,TN,1615583
US,TX,1817719
US,OH,1614933
US,VA,1540393
US,UT,1801360
US,OH,1740203
US,OR,1503939
US,WV,1304269
US,RI,1401242
US,WA,1206501
US,TX,1512677
US,WA,1425678
US,IL,1309229
US,AL,1334703
US,OK,1918863
US,IN,1812462
US,AK,1907880
US,AR,1870835
US,MS,1601722
US,AK,1907474
US,IN,1812413
US,PA,1267611
US,ID,1208677
US,ID,1208647
US,MA,1617336
US,NV,1702950
US,TN,1615742
US,NH,1603587
US,CO,1303660
US,VA,1276647
US,NY,1917456
US,MS,1662746
US,PA,1412206
US,UT,1801572
US,IA,1641586
US,WA,1425677
US,MI,1906206
US,KY,1606459
US,NY,1315725
US,OH,1937501
US,VA,1804818
US,MN,1507559
US,HI,1808215
US,MI,1989826
US,OH,1513366
US,LA,1225535
US,OK,1580248
US,MT,1406572
US,ID,1208469
US,FL,1863491
US,TX,1432580
US,CA,1818208
US,SC,1843920
US,WI,1715796
US,MT,1406452
US,PA,1484675
US,NC,1828414
US,CA,1209212
US,OH,1740982
US,WA,1206336
US,KY,1502281
US,FL,1954791
US,MA,1508223
US,WI,1414292
US,TX,1817747
US,NY,1845578
US,NY,1607283
US,FL,1305543
US,NY,1347422
US,NC,1919786
US,TX,1281257
US,KY,1502205
US,VA,1703453
US,KS,1785379
US,OK,1580374
US,CA,1916387
US,OK,1405366
US,OK,1918204
US,MA,1978260
US,OR,1541804
US,OH,1419849
US,GA,1706657
US,OR,1541353
US,OR,1503867
US,OH,1330341
US,OH,1419622
US,AR,1870607
US,CA,1949250
US,NY,1347567
US,FL,1352277
US,MA,1617735
US,NY,1518971
US,MO,1573735
US,MI,1734712
US,FL,1727856
US,OH,1513227
US,TX,1956758
US,CA,1858729
US,IN,1765209
US,TX,1214390
US,NY,1716773
US,TX,1832592
US,MS,1601425
US,IL,1309346
US,MA,1617923
US,FL,1954398
US,CT,1203776
US,AR,1479294
US,IL,1224610
US,TX,1832538
US,WI,1608727
US,WI,1414543
US,CA,1323680
US,IL,1773524
US,OK,1580402
US,NY,1718581
US,TX,1512424
US,LA,1504500
US,DE,1302740
US,MD,1301397
US,VA,1804517
US,IL,1309411
US,TN,1901257
US,NY,1315636
US,MI,1989807
US,OK,1918614
US,LA,1225713
US,CA,1714306
US,RI,1401388
US,NJ,1856540
US,TX,1817876
US,MI,1989763
US,TN,1865475
US,TN,1615688
US,KY,1270828
US,TX,1361600
US,VA,1540651
US,KY,1502365
US,VT,1802345
US,TX,1210300
US,NE,1402725
US,MA,1781870
US,FL,1321396
US,SC,1864210
US,SC,1843407
US,CA,1530516
US,TX,1940443
US,FL,1954425
US,OH,1937969
US,CA,1408347
US,FL,1352363
US,DC,1202492
US,MN,1763314
US,CA,1818353
US,CA,1650261
US,MS,1601809
US,MI,1248436
US,MO,1573342
US,NE,1308372
US,SC,1864651
US,WY,1307331
US,CA,1408246
US,CT,1860430
US,IL,1815621
US,TX,1806261
US,GA,1404728
US,IL,1217628
US,AK,1907833
US,AZ,1623332
US,NY,1315966
US,CT,1203403
US,LA,1318638
US,CA,1714692
US,DE,1302725
US,TX,1214443
US,TX,1254229
US,TN,1901543
US,IL,1312975
US,TN,1901596
US,NJ,1908456
US,MA,1508557
US,KS,1620295
US,PA,1267655
US,OH,1937269
US,WA,1253686
US,MI,1248470
US,TX,1361747
US,NJ,1201798
US,GA,1770853
US,TX,1214413
US,FL,1305571
US,SC,1803450
US,CA,1858554
US,NJ,1609442
US,NJ,1862367
US,OH,1216590
US,CA,1310828
US,MN,1952484
US,IL,1847280
US,MS,1662322
US,OK,1580295
US,LA,1225987
US,CA,1562478
US,NC,1252567
US,TN,1423433
US,MI,1313858
US,MA,1781790
US,TX,1830209
US,IN,1574658
US,MA,1413262
US,MI,1313457
US,TX,1830694
US,UT,1435624
US,KS,1620770
US,VA,1703780
US,MI,1989785
US,CA,1310614
US,NY,1212819
US,NC,1919403
US,PA,1717519
US,TX,1713363
US,NE,1402999
US,NJ,1908414
US,MO,1816818
US,MI,1810262
US,UT,1801501
US,TX,1713852
US,FL,1407289
US,CA,1916493
US,MO,1417662
US,FL,1754227
US,TX,1936521
US,IL,1773925
US,CA,1909979
US,OH,1440203
US,NY,1315743
US,MD,1443860
US,KS,1620443
US,CA,1209726
US,OH,1614827
US,MO,1660725
US,NJ,1609484
US,RI,1401479
US,MA,1978835
US,CO,1303259
US,NY,1917972
US,OH,1419705
US,NY,1646561
US,KY,1270216
US,GA,1404758
US,WY,1307850
US,HI,1808537
US,IN,1574310
US,VA,1540406
US,TX,1469411
US,IL,1217669
US,WI,1262583
US,TX,1432707
US,MI,1810653
US,CA,1510547
US,AL,1256972
US,FL,1352536
US,FL,1352257
US,FL,1813671
US,CO,1970288
US,MA,1774328
US,CT,1860567
US,OH,1614858
US,PA,1484834
US,GA,1229698
US,CA,1559407
US,CA,1213910
US,FL,1850615
US,PA,1610713
US,PA,1717326
US,OK,1918390
US,NV,1702875
US,CT,1203693
US,FL,1904591
US,NY,1914541
US,GA,1912243
US,PA,1267790
US,WI,1920252
US,FL,1321229
US,OH,1513965
US,NE,1402518
US,IN,1812318
US,MI,1586201
US,IL,1217824
US,FL,1352302
US,CT,1203248
US,RI,1401397
US,MO,1314663
US,WV,1304313
US,MN,1507412
US,DE,1302425
US,WA,1509388
US,NE,1402368
US,NC,1336645
US,OH,1614282
US,GA,1912220
US,CO,1719744
US,CA,1818394
US,NM,1505393
US,WA,1425696
US,GA,1912844
US,TX,1682867
US,VT,1802316
US,CA,1559532
US,CA,1760964
US,MS,1662997
US,TX,1214479
US,NM,1505409
US,TX,1936465
US,VA,1703496
US,PA,1484487
US,VA,1703476
US,MI,1734825
US,MS,1662326
US,NC,1910665
US,LA,1985661
US,NY,1631329
US,NY,1716282
US,NY,1347885
US,OH,1234603
US,WA,1425644
US,KY,1270286
US,MA,1413683
US,CT,1203966
US,MA,1774885
US,MO,1816224
US,OH,1330927
US,NC,1919274
US,AL,1334814
US,SC,1843850
